"id","dam","sire","sex"
"608333",NA,NA,"F"
"E77316",NA,NA,"F"
"608449",NA,NA,"F"
"K50993",NA,NA,"F"
"603743",NA,NA,"F"
"607457",NA,NA,"F"
"603717",NA,NA,"F"
"603714",NA,NA,"F"
"608452",NA,NA,"F"
"K53181",NA,NA,"F"
"E77151",NA,NA,"F"
"K53191",NA,NA,"F"
"607083",NA,NA,"F"
"608448",NA,NA,"F"
"607296",NA,NA,"F"
"607549",NA,NA,"F"
"K50784",NA,NA,"F"
"E77056",NA,NA,"F"
"E77070",NA,NA,"F"
"603719",NA,NA,"F"
"E77087",NA,NA,"F"
"607406",NA,NA,"F"
"608451",NA,NA,"F"
"608372",NA,NA,"F"
"608450",NA,NA,"F"
"608380",NA,NA,"F"
"608444",NA,NA,"F"
"607532",NA,NA,"F"
"608397",NA,NA,"F"
"608107",NA,NA,"F"
"607601",NA,NA,"F"
"608108",NA,NA,"F"
"607169",NA,NA,"F"
"608422",NA,NA,"F"
"608322",NA,NA,"F"
"608323",NA,NA,"F"
"607133",NA,NA,"F"
"607378",NA,NA,"F"
"608427",NA,NA,"F"
"608339",NA,NA,"F"
"K50734",NA,NA,"F"
"608368",NA,NA,"F"
"607274",NA,NA,"F"
"608359",NA,NA,"F"
"607703",NA,NA,"F"
"607215",NA,NA,"F"
"603711",NA,NA,"F"
"K53199",NA,NA,"F"
"607001",NA,NA,"F"
"603701",NA,NA,"F"
"608302",NA,NA,"F"
"E77436",NA,NA,"F"
"603740",NA,NA,"F"
"607116",NA,NA,"F"
"603734",NA,NA,"F"
"603765",NA,NA,"F"
"603748",NA,NA,"F"
"608430",NA,NA,"F"
"E77016",NA,NA,"F"
"608330",NA,NA,"F"
"BA02064",NA,NA,"F"
"608433",NA,NA,"F"
"608731",NA,NA,"F"
"608794",NA,NA,"F"
"BA02128",NA,NA,"F"
"BA02066",NA,NA,"F"
"BA02126",NA,NA,"F"
"BA02109",NA,NA,"F"
"BA02065",NA,NA,"F"
"608779",NA,NA,"F"
"607485",NA,NA,"F"
"BA02132",NA,NA,"F"
"603750",NA,NA,"F"
"BA02131",NA,NA,"F"
"BA02133",NA,NA,"F"
"BA02061",NA,NA,"F"
"603704",NA,NA,"F"
"BA02125",NA,NA,"F"
"608749",NA,NA,"F"
"BA02130",NA,NA,"F"
"BA02107",NA,NA,"F"
"BA02062",NA,NA,"F"
"BA02063",NA,NA,"F"
"BA02005",NA,NA,"F"
"BA02129",NA,NA,"F"
"BA02127",NA,NA,"F"
"603703",NA,NA,"F"
"608729",NA,NA,"F"
"BA01832",NA,NA,"F"
"608618",NA,NA,"F"
"BA02142",NA,NA,"F"
"BA02145",NA,NA,"F"
"BA02144",NA,NA,"F"
"BA02140",NA,NA,"F"
"BA02139",NA,NA,"F"
"BA02138",NA,NA,"F"
"BA02137",NA,NA,"F"
"BA02069",NA,NA,"F"
"608620",NA,NA,"F"
"BA02141",NA,NA,"F"
"BA02143",NA,NA,"F"
"BA02146",NA,NA,"F"
"BA02057",NA,NA,"F"
"BA02056",NA,NA,"F"
"608523",NA,NA,"F"
"BA02147",NA,NA,"F"
"608639",NA,NA,"F"
"BA02055",NA,NA,"F"
"607192",NA,NA,"F"
"BA02115",NA,NA,"F"
"K53135",NA,NA,"F"
"608327",NA,NA,"F"
"BA02117",NA,NA,"F"
"BA02116",NA,NA,"F"
"BA02059",NA,NA,"F"
"BA02120",NA,NA,"F"
"607069",NA,NA,"F"
"608506",NA,NA,"F"
"BA02121",NA,NA,"F"
"BA02119",NA,NA,"F"
"BA02123",NA,NA,"F"
"BA02124",NA,NA,"F"
"BA02012",NA,NA,"F"
"608424",NA,NA,"F"
"608365",NA,NA,"F"
"BA02122",NA,NA,"F"
"BA02060",NA,NA,"F"
"608678",NA,NA,"F"
"BA02058",NA,NA,"F"
"608564",NA,NA,"F"
"608499",NA,NA,"F"
"608674",NA,NA,"F"
"608698",NA,NA,"F"
"BA02134",NA,NA,"F"
"608685",NA,NA,"F"
"BA02135",NA,NA,"F"
"608431",NA,NA,"F"
"BA02136",NA,NA,"F"
"603733",NA,NA,"F"
"608703",NA,NA,"F"
"608692",NA,NA,"F"
"BA02067",NA,NA,"F"
"K53157",NA,NA,"F"
"608712",NA,NA,"F"
"BA02148",NA,NA,"F"
"BA02149",NA,NA,"F"
"K53186",NA,NA,"F"
"E77068",NA,NA,"F"
"J70854",NA,NA,"F"
"BA02118",NA,NA,"F"
"BA02051",NA,NA,"F"
"608214",NA,NA,"F"
"607092",NA,NA,"F"
"BA02052",NA,NA,"F"
"608068",NA,NA,"F"
"BA02053",NA,NA,"F"
"BA02054",NA,NA,"F"
"608613",NA,NA,"F"
"607468",NA,NA,"F"
"BA12840",NA,NA,"F"
"BA12836",NA,NA,"F"
"BA12837",NA,NA,"F"
"BA12835",NA,NA,"F"
"607558",NA,NA,"F"
"BA12700",NA,NA,"F"
"BA12823",NA,NA,"F"
"AB56508",NA,NA,"F"
"BA12825",NA,NA,"F"
"BA12824",NA,NA,"F"
"BA12730",NA,NA,"F"
"BA12695",NA,NA,"F"
"BA12820",NA,NA,"F"
"BA12822",NA,NA,"F"
"BA12821",NA,NA,"F"
"BA12807",NA,NA,"F"
"BA12809",NA,NA,"F"
"BA12839",NA,NA,"F"
"BA12808",NA,NA,"F"
"608502",NA,NA,"F"
"BA12772",NA,NA,"F"
"BA02088",NA,NA,"F"
"C95067",NA,NA,"F"
"BA12814",NA,NA,"F"
"BA12813",NA,NA,"F"
"BA12812",NA,NA,"F"
"BA12811",NA,NA,"F"
"BA12810",NA,NA,"F"
"BA12804",NA,NA,"F"
"BA12815",NA,NA,"F"
"BA12694",NA,NA,"F"
"BA12843",NA,NA,"F"
"BA12726",NA,NA,"F"
"BA12842",NA,NA,"F"
"BA12728",NA,NA,"F"
"608661",NA,NA,"F"
"BA12818",NA,NA,"F"
"BA12841",NA,NA,"F"
"BA12817",NA,NA,"F"
"BA12729",NA,NA,"F"
"BA12838",NA,NA,"F"
"BA12816",NA,NA,"F"
"K53147",NA,NA,"F"
"BA12819",NA,NA,"F"
"BA11493",NA,NA,"F"
"BA12802",NA,NA,"F"
"BA25446",NA,NA,"F"
"BA26577",NA,NA,"F"
"BA12918",NA,NA,"F"
"BA12917",NA,NA,"F"
"BA25330",NA,NA,"F"
"BA12932",NA,NA,"F"
"BA12849",NA,NA,"F"
"BA12850",NA,NA,"F"
"BA12929",NA,NA,"F"
"BA12931",NA,NA,"F"
"BA43243",NA,NA,"F"
"BA12928",NA,NA,"F"
"BA12930",NA,NA,"F"
"BA43242",NA,NA,"F"
"BA26957",NA,NA,"F"
"BA12924",NA,NA,"F"
"608503",NA,NA,"F"
"BA12919",NA,NA,"F"
"BA12920",NA,NA,"F"
"BA12922",NA,NA,"F"
"BA12921",NA,NA,"F"
"BA12892",NA,NA,"F"
"BA12927",NA,NA,"F"
"608505",NA,NA,"F"
"BA43000",NA,NA,"F"
"BA12854",NA,NA,"F"
"BA02300",NA,NA,"F"
"BA43244",NA,NA,"F"
"BA12933",NA,NA,"F"
"BA12915",NA,NA,"F"
"BA02155",NA,NA,"F"
"BA25447",NA,NA,"F"
"BA12925",NA,NA,"F"
"BA12916",NA,NA,"F"
"BA26953",NA,NA,"F"
"607098",NA,NA,"F"
"BA12923",NA,NA,"F"
"BA12848",NA,NA,"F"
"BA47844",NA,NA,"F"
"BA12877",NA,NA,"F"
"BA47843",NA,NA,"F"
"BA47845",NA,NA,"F"
"BA47846",NA,NA,"F"
"BA47834",NA,NA,"F"
"BA47838",NA,NA,"F"
"BA47516",NA,NA,"F"
"BA47839",NA,NA,"F"
"BA47650",NA,NA,"F"
"BA47840",NA,NA,"F"
"BA47836",NA,NA,"F"
"BA47833",NA,NA,"F"
"BA47849",NA,NA,"F"
"BA47850",NA,NA,"F"
"BA47851",NA,NA,"F"
"BA47549",NA,NA,"F"
"BA47837",NA,NA,"F"
"BA47568",NA,NA,"F"
"AH57281",NA,NA,"F"
"BA50702",NA,NA,"F"
"N92253",NA,NA,"F"
"BA43317",NA,NA,"F"
"BA47760",NA,NA,"F"
"BA47587",NA,NA,"F"
"BA50704",NA,NA,"F"
"BA50708",NA,NA,"F"
"BA50703",NA,NA,"F"
"BA47766",NA,NA,"F"
"BA47604",NA,NA,"F"
"BA47847",NA,NA,"F"
"BA47832",NA,NA,"F"
"BA47835",NA,NA,"F"
"BA47848",NA,NA,"F"
"BA47860",NA,NA,"F"
"BA47603",NA,NA,"F"
"BA47591",NA,NA,"F"
"BA47693",NA,NA,"F"
"BA47599",NA,NA,"F"
"BA12857",NA,NA,"F"
"BA12868",NA,NA,"F"
"BA47901",NA,NA,"F"
"BA47584",NA,NA,"F"
"BA47852",NA,NA,"F"
"BA47626",NA,NA,"F"
"BA47841",NA,NA,"F"
"BA43267",NA,NA,"F"
"BA47842",NA,NA,"F"
"BA47579",NA,NA,"F"
"BA47853",NA,NA,"F"
"BA12715",NA,NA,"F"
"BA47854",NA,NA,"F"
"BA47855",NA,NA,"F"
"BA50705",NA,NA,"F"
"BA12926",NA,NA,"F"
"BA50733",NA,NA,"F"
"BA47555",NA,NA,"F"
"BA43290",NA,NA,"F"
"BA50706",NA,NA,"F"
"BA47595",NA,NA,"F"
"BA50707",NA,NA,"F"
"BA47765",NA,NA,"F"
"BA47576",NA,NA,"F"
"AH57797",NA,NA,"F"
"BA43389",NA,NA,"F"
"BA47973",NA,NA,"F"
"BA12871",NA,NA,"F"
"BA47989",NA,NA,"F"
"BA47980",NA,NA,"F"
"BA47996",NA,NA,"F"
"BA47990",NA,NA,"F"
"BA64653",NA,NA,"F"
"BA47991",NA,NA,"F"
"BA47988",NA,NA,"F"
