"Pnum","Section","Owner","Mixed.species","Species","State.code","Closed","Clear.date","Missing.entire.brood","Suspected.predation","Lay.date","April.lay.date","Lay.date.uncertainty","Lay.date.visit.interval","Laying.rate","Incubation.started","Num.broken.eggs","Expected.hatch.date","Hatch.date","April.hatch.date","Incubation.duration","Total.egg.weight","Num.eggs.weighed","Clutch.size","Num.chicks","Num.chicks.ringed","April.ring.date","Ring.day","Num.live.chicks","Num.dead.chicks","Num.fledglings","Mean.chick.weight","Num.linked.pulli.records","Num.linked.adult.records","Father","Mother","Identified.adults","Chick.ids","Dead.ringed.chick.ids","Experiment.codes","Num.eggs.manipulated","Comments","Legacy.average.egg.weight","Legacy.max.nest.state.code","Legacy.last.visit.date","Legacy.hatch.age.in.days","Legacy.april.hatch.date","Legacy.predation","Legacy.clutch.accuracy","Legacy.mean.fledge.weight","Legacy.num.ringed.dead.chicks","year"
"20221B1","b","Anett Kiss","false",NA,6,"true","22-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B10","b","Anett Kiss","false","b",6,"true","29-05-2022",NA,NA,"24-04-2022",24,"0",4,1,"true",0,"15-05-2022","15-05-2022",45,13,3.73,3,9,8,0,NA,NA,NA,8,0,NA,0,1,NA,"atr9819","atr9819",NA,NA,NA,0,"bluti alarm, fon, fon, fon",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B100","b","Anett Kiss","false","b",6,"true","22-06-2022",NA,NA,"18-04-2022",18,"0",10,1,"true",0,"10-05-2022",NA,NA,NA,3.5,3,10,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,"not hatched, eggs cold, not hatched, eggs cold, eggs are cold",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B101","b","Anett Kiss","false","g",6,"true","09-06-2022",NA,NA,"17-04-2022",17,"0",10,NA,"true",0,"08-05-2022","09-05-2022",39,14,4.5,3,9,7,7,53,15,7,0,7,17.1,7,2,"ty68410","vz30775","0700ede8f8, ty68410",NA,NA,NA,0,"marti pair alarm, not hatched",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B102","b","Anett Kiss","false",NA,6,"true","09-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B103","b","Anett Kiss","false",NA,6,"true","09-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B104","b","Anett Kiss","false","g",6,"true","30-05-2022",NA,NA,"09-05-2022",39,"8",13,NA,"true",0,"27-05-2022","24-05-2022",54,10,NA,NA,6,3,0,NA,NA,NA,3,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,"fon, fon, fon, fon",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B105","b","Anett Kiss","false",NA,6,"true","09-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B106","b","Anett Kiss","false",NA,6,"true","09-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B107","b","Anett Kiss","false","b",6,"true","22-06-2022",NA,NA,"17-04-2022",17,"0",8,1,"true",0,"08-05-2022","07-05-2022",37,11,3.8,3,10,9,9,51,15,9,0,9,10.96,9,2,NA,"avl3030","01103fca98, avl3030",NA,NA,3,0,"FON, control treatment, remarked, nails clipped and photos yn9 en1, faceplated, trapped and photos, photos,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
