"Box","laydate.change","standard.error","Oak_health_20m","Oak_health_50m","Oak_health_75m","Oak_health_100m","Oak_health_125m","Oak_health_150m","Oak_health_175m","Oak_health_200m","Oak_health_250m","No_trees_20m","No_trees_50m","No_trees_75m","No_trees_100m","No_trees_125m","No_trees_150m","No_trees_175m","No_trees_200m","No_trees_225m","No_trees_250m","territory_area","Mean_territory_area","edge.EDI.","altitude.m.","northness","habitat.type","soil.type","occupancy","duration"
"B1",0.143914473684212,0.427593424094912,2,1.625,1.875,1.8695652173913,2.03571428571429,2.075,2.08695652173913,2.08928571428571,2.2463768115942,3,8,15,21,25,36,42,52,56,62,764.731871776283,5625.84157909871,77.4375,109.493,0.442280864,"5","2",6,26
"B10",-0.272156862745102,0.181413591840393,NA,2,2.36363636363636,2.26315789473684,1.85714285714286,1.81578947368421,1.86666666666667,2,2.21428571428571,0,3,10,17,26,35,42,46,53,63,1847.81995147467,9072.29950659379,97.2329,115.701,0.595048645,"5","2",11,45
"B100",-0.963597430406838,0.742111372651404,1.5,1.72727272727273,2,1.90909090909091,2.03448275862069,2.13513513513514,2.14893617021277,2.125,2.1830985915493,2,11,16,20,26,33,43,52,58,65,1611.38569087745,9937.77062870172,66.2956,106.99,0.411690918,"5","2",4,14
"B101",-0.0156753589217698,0.194202868681917,2,2,1.88235294117647,2.04347826086957,1.96551724137931,1.89189189189189,2,2.05882352941176,2.1969696969697,2,9,16,20,26,34,42,47,55,60,891.479641149519,4816.7338839751,61.6173,110.337,0.468847327,"5","2",5,47
"B102",-0.537690220596917,0.225302280433853,2,2.28571428571429,1.73333333333333,1.86363636363636,1.86206896551724,1.85714285714286,1.875,1.97826086956522,2.18032786885246,2,6,14,20,26,32,36,42,48,55,713.08255298622,6884.05955780567,28.9764,111.149,0.846422808,"5","2",6,41
"B103",-0.282107574094398,0.221654099294603,2,2.4,1.75,1.76190476190476,1.79166666666667,1.85294117647059,1.78947368421053,1.875,2.05555555555556,1,4,11,19,22,31,35,36,42,49,870.28255867213,4773.51228122972,11.1153,112.677,0.709781004,"5","2",6,49
"B104",-0.52857625972269,0.200280297905063,2,1.4,1.375,2,1.73684210526316,1.62962962962963,1.87878787878788,1.91666666666667,2.01923076923077,1,5,8,10,17,25,30,32,36,45,623.361156929284,6586.23760696128,2.65996,114.361,-0.111004087,"5","2",5,37
"B105",-0.589817436297958,0.12993942770537,1.33333333333333,1.33333333333333,1.25,1.63636363636364,1.75,1.70833333333333,1.83333333333333,2.05714285714286,2.125,3,3,8,10,14,22,27,30,39,54,762.03297962714,17476.5245840658,6.69994,118.018,-0.048307613,"5","2",9,50
"B106",-0.545666084933104,0.19664587470556,NA,1.33333333333333,1.16666666666667,1.54545454545455,1.5,1.75,2.07407407407407,2,2.14666666666667,0,3,6,10,13,14,23,34,46,63,801.880225254426,18321.739705834,1.50931,120.721,0.220869363,"5","2",7,50
"B107",0.112517267501435,0.151745361404391,1,1.8,1.54545454545455,1.5625,1.8695652173913,1.86666666666667,1.87878787878788,1.975,2.05882352941176,1,4,10,15,21,27,30,35,45,60,699.305192459375,9060.90852309067,41.9153,120.446,0.612752585,"5","2",14,36
"B108",-0.353075719272904,0.140456610879588,NA,1.6,1.93333333333333,1.76190476190476,1.83333333333333,1.87878787878788,1.80555555555556,1.8780487804878,2.10714285714286,0,5,13,19,28,30,33,37,45,50,925.657424670411,5309.49190378145,36.8232,115.469,0.871350863,"5","2",11,51
"B109",-0.376237623762383,0.178876129131752,NA,2.33333333333333,2.15384615384615,1.78260869565217,1.86206896551724,1.80555555555556,1.78947368421053,2,2.15254237288136,0,5,11,21,27,33,35,43,47,53,1002.52267302386,5920.88756966117,51.7948,114.642,0.868955605,"5","2",6,47
