Pnum,Section,Owner,Mixed species,Species,State code,Closed,Clear date,Missing entire brood,Suspected predation,Lay date,April lay date,Lay date uncertainty,Lay date visit interval,Laying rate,Incubation started,Num broken eggs,Expected hatch date,Hatch date,April hatch date,Incubation duration,Total egg weight,Num eggs weighed,Clutch size,Num chicks,Num chicks ringed,April ring date,Ring day,Num live chicks,Num dead chicks,Num fledglings,Mean chick weight,Num linked pulli records,Num linked adult records,Father,Mother,Identified adults,Chick ids,Dead ringed chick ids,Experiment codes,Num eggs manipulated,Comments,Legacy average egg weight,Legacy max nest state code,Legacy last visit date,Legacy hatch age in days,Legacy april hatch date,Legacy predation,Legacy clutch accuracy,Legacy mean fledge weight,Legacy num ringed dead chicks
20221B1,b,Anett Kiss,false,,6,true,22-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B10,b,Anett Kiss,false,b,6,true,29-05-2022,,,24-04-2022,24,0,4,1.00,true,0,15-05-2022,15-05-2022,45,13,3.73,3,9,8,0,,,,8,0,,0,1,,atr9819,atr9819,,,,0,"bluti alarm, fon, fon, fon",,,,,,,,,
20221B100,b,Anett Kiss,false,b,6,true,22-06-2022,,,18-04-2022,18,0,10,1.00,true,0,10-05-2022,,,,3.50,3,10,,0,,,,0,0,,0,0,,,,,,,0,"not hatched, eggs cold, not hatched, eggs cold, eggs are cold",,,,,,,,,
20221B101,b,Anett Kiss,false,g,6,true,09-06-2022,,,17-04-2022,17,0,10,,true,0,08-05-2022,09-05-2022,39,14,4.50,3,9,7,7,53,15,7,0,7,17.10,7,2,ty68410,vz30775,"0700ede8f8, ty68410",,,,0,"marti pair alarm, not hatched",,,,,,,,,
20221B102,b,Anett Kiss,false,,6,true,09-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B103,b,Anett Kiss,false,,6,true,09-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B104,b,Anett Kiss,false,g,6,true,30-05-2022,,,09-05-2022,39,8,13,,true,0,27-05-2022,24-05-2022,54,10,,,6,3,0,,,,3,0,,0,0,,,,,,,0,"fon, fon, fon, fon",,,,,,,,,
20221B105,b,Anett Kiss,false,,6,true,09-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B106,b,Anett Kiss,false,,6,true,09-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B107,b,Anett Kiss,false,b,6,true,22-06-2022,,,17-04-2022,17,0,8,1.00,true,0,08-05-2022,07-05-2022,37,11,3.80,3,10,9,9,51,15,9,0,9,10.96,9,2,,avl3030,"01103fca98, avl3030",,,3,0,"FON, control treatment, remarked, nails clipped and photos yn9 en1, faceplated, trapped and photos, photos,",,,,,,,,,
20221B108,b,Anett Kiss,false,,6,true,09-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B109,b,Anett Kiss,false,b,6,true,22-06-2022,,,16-04-2022,16,0,8,1.00,true,0,08-05-2022,06-05-2022,36,11,3.40,3,10,9,8,50,15,8,1,8,10.39,8,2,atr4844,avl6734,"avl6734, atr4844",,,,0,"eggs uncovered cold, FON, bluti alarm, 2 yd1, faceplated, maybe yn12, trapped",,,,,,,,,
20221B11,b,Anett Kiss,false,b,6,true,22-06-2022,,,18-04-2022,18,0,8,1.00,true,0,10-05-2022,07-05-2022,37,10,4.80,4,10,10,10,51,15,10,2,8,9.95,10,3,atr9744,avl7884,"avl7884, atr9744",,"atr9948, atr9949",3,0,"eggs uncovered, maybe a little warm, 2 yd1, FON, original CS8, FON, original yn8, increased treatment to yn10, yn3 moved to b89, yn5 received, remarked, nails clipped and photos, faceplated, trapped and photos",,,,,,,,,
20221B110,b,Anett Kiss,false,,6,true,22-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B111,b,Anett Kiss,false,b,6,true,22-06-2022,,,21-04-2022,21,0,10,1.00,true,0,12-05-2022,12-05-2022,42,13,4.56,4,9,9,4,56,15,4,6,3,8.63,4,2,atr7391,atr7484,"3b0019075a, atr7484",,ajy2117,,0,"FON, FON not hatched, fon, faceplated",,,,,,,,,
20221B112,b,Anett Kiss,false,,6,true,22-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B113,b,Anett Kiss,false,,6,true,22-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20221B114,b,Anett Kiss,false,,6,true,22-06-2022,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
