Rtype,Ring,Spec,Age,Sex,Date,Place,Site,Find,Circumstance,Text,Wing,Wt,Init,Blmtd,Bill,Bdmtd,Billd,Tsmtd,Tarsus,Fat,Fatmtd,Pec,Pulaliv,Pulring
N,D472952,BLACA,3,F,17/09/2013 08:00,WYT,LOG 7C,,,,75,19.8,BVK,,,,,,,,,,,
N,J215573,BLUTI,6,F,13/01/2020 09:10,WYT,HE-WYT,,,,64,10.7,SJC,,,,,M,18.2,,,,,
N,J215572,BLUTI,5,F,13/01/2020 09:10,WYT,HE-WYT,,,,62,10.5,SJC,,,,,M,18.1,,,,,
N,J215570,BLUTI,5,F,13/01/2020 09:10,WYT,HE-WYT,,,,62,11.1,SJC,,,,,M,19.1,,,,,
N,J215569,BLUTI,5,F,13/01/2020 09:10,WYT,HE-WYT,,,,61.5,10,SJC,,,,,M,18.2,,,,,
N,J215568,BLUTI,5,F,13/01/2020 09:10,WYT,HE-WYT,,,,63,9.7,SJC,,,,,M,18.7,,,,,
N,J215567,BLUTI,5,F,13/01/2020 09:10,WYT,HE-WYT,,,,64,9.7,SJC,,,,,M,19,,,,,
N,J215565,BLUTI,6,F,13/01/2020 09:10,WYT,HE-WYT,,,,61,10,SJC,,,,,M,18.7,,,,,
N,J215564,BLUTI,5,M,13/01/2020 09:10,WYT,HE-WYT,,,,64.5,11.7,SJC,,,,,M,20.1,,,,,
N,J215563,BLUTI,5,M,13/01/2020 09:10,WYT,HE-WYT,,,,65,11.2,SJC,,,,,M,19,,,,,
N,ABJ6400,BLUTI,5,M,13/01/2020 09:10,WYT,HE-WYT,,,,64,10.9,SJC,,,,,M,19.3,,,,,
N,ABJ6398,BLUTI,5,F,10/01/2020 11:00,WYT,HE-WYT,,,,64,9.9,NMR,,,,,M,19,,,,,
N,ABJ6397,BLUTI,5,M,10/01/2020 11:00,WYT,HE-WYT,,,,63.5,10.8,TDH,,,,,M,19.5,,,,,
N,ABJ6396,BLUTI,5,M,10/01/2020 11:00,WYT,HE-WYT,,,,64,10.5,NMR,,,,,M,19.4,,,,,
N,ABJ6395,BLUTI,5,M,10/01/2020 11:00,WYT,HE-WYT,,,,65,11.3,NMR,,,,,M,19.5,,,,,
N,ABJ6394,BLUTI,5,F,10/01/2020 11:00,WYT,HE-WYT,,,,61,11.5,NMR,,,,,M,18.5,,,,,
N,ABJ6393,BLUTI,5,M,10/01/2020 11:00,WYT,HE-WYT,,,,64,10.5,NMR,,,,,M,19,,,,,
N,ABJ6392,BLUTI,5,F,10/01/2020 11:00,WYT,HE-WYT,,,,60,10.7,NMR,,,,,M,19,,,,,
N,ABJ6389,BLUTI,5,M,10/01/2020 09:10,WYT,HE-WYT,,,,66,10.9,SJC,,,,,M,19.6,,,,,
N,ABJ6388,BLUTI,5,M,10/01/2020 09:10,WYT,HE-WYT,,,,64,11.2,SJC,,,,,M,19.6,,,,,
