Rtype,Ring,Spec,Age,Sex,Date,Place,Site,Find,Circumstance,Text,Wing,Wt,Init,Blmtd,Bill,Bdmtd,Billd,Tsmtd,Tarsus,Fat,Fatmtd,Pec,Pulaliv,Pulring
R,ATR5436,BLUTI,5,F,10/01/2022  10:30:00,WYT,LOG 2C,,,,62.0,9.7,ANA,,,,,M,19.2,,,,,
R,ATR5895,BLUTI,5,F,10/01/2022  10:30:00,WYT,LOG 2C,,,,61.0,9.9,SJC,,,,,M,18.8,,,,,
R,ATR8090,BLUTI,5,M,10/01/2022  10:30:00,WYT,LOG 2C,,,,64.0,10.2,ANA,,,,,M,19.5,,,,,
R,ATR8096,BLUTI,6,M,10/01/2022  10:30:00,WYT,LOG 2C,,,,66.0,10.4,SJC,,,,,M,19.8,,,,,
R,ATR6919,BLUTI,5,M,10/01/2022  10:30:00,WYT,LOG 2C,,,,65.0,10.5,SJC,,,,,M,19.9,,,,,
R,ATR4506,BLUTI,5,F,10/01/2022  10:30:00,WYT,LOG 2C,,,,63.0,11.1,ANA,,,,,M,18.7,,,,,
R,ATR4594,BLUTI,5,M,10/01/2022  10:30:00,WYT,LOG 2C,,,,64.0,10.3,ANA,,,,,M,19.7,,,,,
R,ATR4400,BLUTI,5,M,10/01/2022  10:30:00,WYT,LOG 2C,,,,65.0,10.7,SJC,,,,,M,19.5,,,,,
R,AVL3857,BLUTI,6,F,10/01/2022  10:30:00,WYT,LOG 2C,,,,61.0,10.2,ANA,,,,,M,19.7,,,,,
R,Z626670,BLUTI,6,M,10/01/2022  10:30:00,WYT,LOG 2C,,,,68.0,10.6,SJC,,,,,M,19.8,,,,,
R,PF72566,GRETI,5,F,10/01/2022  10:30:00,WYT,LOG 2C,,,,74.0,18.9,ANA,,,,,M,23.5,,,,,
R,ATR8122,BLUTI,5,F,10/01/2022  10:30:00,WYT,LOG 2C,,,,61.0,9.8,SJC,,,,,M,19.4,,,,,
R,TY68740,GRETI,6,M,10/01/2022  10:30:00,WYT,LOG 2C,,,,77.0,17.8,SJC,,,,,M,21.7,,,,,
R,TY68173,GRETI,6,F,10/01/2022  10:30:00,WYT,LOG 2C,,,,74.0,15.8,ANA,,,,,M,22.8,,,,,
N,LC85933,BLABI,6,F,10/01/2022  10:30:00,WYT,LOG 2C,,,,124.0,93.6,ANA,,,,,,,,,,,
N,TY69461,GRETI,5,M,07/01/2022  09:00:00,WYT,LOG 1H,,,,75.0,19.8,SJC,,,,,M,24.4,,,,,
N,TY69460,GRETI,6,F,07/01/2022  09:00:00,WYT,LOG 1H,,,,75.0,18.9,SJC,,,,,M,22.1,,,,,
N,TY69459,GRETI,6,F,05/01/2022  12:00:00,WYT,LOG 2C,,,,75.0,17.8,ANA,,,,,M,23.1,,,,,
N,TY69458,GRETI,5,F,05/01/2022  12:00:00,WYT,LOG 2C,,,,72.0,17.5,SJC,,,,,M,22.4,,,,,
N,TY69457,GRETI,5,M,05/01/2022  11:00:00,WYT,LOG 2C,,,,77.0,20.0,SJC,,,,,M,23.0,,,,,
N,TY69456,GRETI,5,M,05/01/2022  09:40:00,WYT,LOG 2C,,,,76.0,,SJC,,,,,M,24.0,,,,,
N,TY69455,DUNNO,5,,05/01/2022  10:40:00,WYT,LOG 6A,,,,64.0,18.3,SJC,,,,,,,,,,,
