Rtype,Ring,Spec,Age,Sex,Date,Place,Site,Find,Circumstance,Text,Wing,Wt,Init,Blmtd,Bill,Bdmtd,Billd,Tsmtd,Tarsus,Fat,Fatmtd,Pec,Pulaliv,Pulring
N,TY68255,GRETI,6,M,06/01/2021  08:49:59,WYT,LOG 1B,,,,78.0,19.0,SJC,,,,,M,24.2,,,,,
N,CL70473,GRSWO,6,F,06/01/2021  08:49:59,WYT,LOG 1B,,,,132.0,,JHA,,,,,,,,,,,
N,AVL6841,BLUTI,6,M,06/01/2021  09:59:59,WYT,LOG 1B,,,,65.5,11.5,SJC,,,,,M,20.0,,,,,
N,AVL6840,COATI,5,,06/01/2021  09:59:59,WYT,LOG 1B,,,,60.0,9.1,KMM,,,,,,,,,,,
N,AVL6839,BLUTI,6,F,06/01/2021  09:00:00,WYT,LOG 1B,,,,62.0,10.7,JHA,,,,,M,18.6,,,,,
N,AVL6838,BLUTI,5,M,06/01/2021  08:49:59,WYT,LOG 1B,,,,64.0,11.3,JHA,,,,,M,18.7,,,,,
N,AVL6837,BLUTI,5,F,06/01/2021  08:49:59,WYT,LOG 1B,,,,,,SJC,,,,,M,18.4,,,,,
N,AVL6836,MARTI,6,,05/01/2021  09:00:00,WYT,LOG 6A,,,,66.0,11.0,JHA,,,,,M,18.2,,,,,
N,AVL6835,BLUTI,5,F,05/01/2021  09:00:00,WYT,LOG 6A,,,,62.0,10.7,KMM,,,,,M,19.0,,,,,
N,AFH2799,BLUTI,6,F,05/01/2021  08:39:59,WYT,LOG 6A,,,,62.0,11.0,JHA,,,,,M,19.0,,,,,
R,AVL7194,COATI,5,,05/01/2021  08:39:59,WYT,LOG 6A,,,,59.0,8.4,SJC,,,,,,,,,,,
R,AFH2790,BLUTI,5,M,05/01/2021  08:39:59,WYT,LOG 6A,,,,65.0,12.5,JHA,,,,,M,19.8,,,,,
R,AVL7197,BLUTI,5,F,05/01/2021  08:39:59,WYT,LOG 6A,,,,62.5,10.2,SJC,,,,,M,18.7,,,,,
R,VZ32694,GRETI,6,F,06/01/2021  10:30:00,WYT,LOG 1B,,,,75.0,17.2,SJC,,,,,M,23.0,,,,,
R,TY70236,GRETI,6,M,06/01/2021  10:30:00,WYT,LOG 1B,,,,77.0,17.6,KMM,,,,,M,23.0,,,,,
R,VZ32698,GRETI,6,F,06/01/2021  10:30:00,WYT,LOG 1B,,,,74.0,17.8,SJC,,,,,M,23.0,,,,,
R,ABJ6051,BLUTI,6,M,06/01/2021  09:59:59,WYT,LOG 1B,,,,65.0,11.1,SJC,,,,,M,20.0,,,,,
R,AFH3669,BLUTI,6,M,06/01/2021  09:59:59,WYT,LOG 1B,,,,65.0,11.3,SJC,,,,,M,20.0,,,,,
R,AFH5257,BLUTI,6,M,06/01/2021  09:59:59,WYT,LOG 1B,,,,63.0,11.1,SJC,,,,,M,19.6,,,,,
R,TY69529,GRETI,5,F,06/01/2021  09:59:59,WYT,LOG 1B,,,,75.0,17.9,SJC,,,,,M,23.2,,,,,
R,S883435,BLUTI,6,F,06/01/2021  09:30:00,WYT,LOG 1B,,,,63.0,11.0,SJC,,,,,M,19.1,,,,,
R,AFH2768,BLUTI,6,M,06/01/2021  09:30:00,WYT,LOG 1B,,,,64.0,10.8,SJC,,,,,M,19.9,,,,,
R,AAJ8767,BLUTI,6,M,28/01/2021  11:19:59,WYT,LOG 2E,,,,65.0,11.2,SJC,,,,,M,19.5,,,,,
R,AVL7042,BLUTI,5,M,06/01/2021  09:30:00,WYT,LOG 1B,,,,64.0,11.1,JHA,,,,,M,18.8,,,,,
R,AVL7174,BLUTI,5,F,06/01/2021  09:30:00,WYT,LOG 1B,,,,60.0,10.7,SJC,,,,,M,19.3,,,,,
R,AFH2775,BLUTI,6,M,06/01/2021  09:30:00,WYT,LOG 1B,,,,63.0,10.0,JHA,,,,,M,18.2,,,,,
R,J215678,BLUTI,6,M,06/01/2021  09:30:00,WYT,LOG 1B,,,,65.0,,SJC,,,,,M,19.5,,,,,
R,AVL7144,BLUTI,6,F,06/01/2021  09:30:00,WYT,LOG 1B,,,,61.0,10.6,SJC,,,,,M,19.5,,,,,
R,AVL5186,BLUTI,6,M,06/01/2021  09:30:00,WYT,LOG 1B,,,,64.0,10.8,JHA,,,,,M,19.3,,,,,
R,VZ33693,GRETI,5,F,06/01/2021  09:30:00,WYT,LOG 1B,,,,73.0,17.8,SJC,,,,,M,22.9,,,,,
R,AVL6047,MARTI,5,,06/01/2021  09:30:00,WYT,LOG 1B,,,,60.0,10.4,SJC,,,,,M,18.5,,,,,
R,AFH2769,BLUTI,5,M,06/01/2021  08:49:59,WYT,LOG 1B,,,,67.0,12.2,JHA,,,,,M,19.1,,,,,
R,AFH2764,BLUTI,5,M,06/01/2021  08:49:59,WYT,LOG 1B,,,,63.0,11.0,SJC,,,,,M,20.2,,,,,
R,Z101386,BLUTI,6,F,06/01/2021  08:49:59,WYT,LOG 1B,,,,61.0,10.4,SJC,,,,,M,18.9,,,,,
R,S883872,BLUTI,6,M,06/01/2021  08:49:59,WYT,LOG 1B,,,,66.0,11.7,JHA,,,,,M,19.1,,,,,
R,AVL7173,BLUTI,5,M,06/01/2021  08:49:59,WYT,LOG 1B,,,,63.5,10.9,SJC,,,,,M,19.3,,,,,
R,AFH2766,COATI,5,,06/01/2021  08:49:59,WYT,LOG 1B,,,,59.0,8.2,SJC,,,,,,,,,,,
R,AFH2792,BLUTI,6,F,05/01/2021  10:19:59,WYT,LOG 6A,,,,61.0,,JHA,,,,,M,18.6,,,,,
R,TW77023,GRETI,5,F,05/01/2021  10:19:59,WYT,LOG 6A,,,,74.0,18.3,KMM,,,,,M,23.3,,,,,
R,ABJ6007,BLUTI,6,M,05/02/2021  11:00:00,WYT,LOG 6A,,,,64.0,11.6,JPW,,,,,M,19.6,,,,,
R,AVL6056,MARTI,5,,05/01/2021  10:19:59,WYT,LOG 6A,,,,63.5,11.0,KMM,,,,,M,18.8,,,,,
R,AFH2798,BLUTI,5,M,05/01/2021  10:19:59,WYT,LOG 6A,,,,64.0,10.6,KMM,,,,,M,19.8,,,,,
R,AFH2800,BLUTI,5,M,05/01/2021  09:59:59,WYT,LOG 6A,,,,64.0,,JHA,,,,,M,19.9,,,,,
R,AFH4597,BLUTI,6,F,05/01/2021  09:59:59,WYT,LOG 6A,,,,63.0,11.2,SJC,,,,,M,18.8,,,,,
R,AFH2741,BLUTI,6,M,05/01/2021  09:59:59,WYT,LOG 6A,,,,64.0,10.7,SJC,,,,,M,20.2,,,,,
R,AVL3251,BLUTI,5,M,05/01/2021  09:59:59,WYT,LOG 6A,,,,64.0,11.9,JHA,,,,,M,19.4,,,,,
R,AVL5042,BLUTI,5,F,05/01/2021  09:59:59,WYT,LOG 6A,,,,64.0,10.4,SJC,,,,,M,19.3,,,,,
R,AFH2745,BLUTI,5,,05/01/2021  09:49:59,WYT,LOG 6A,,,,61.0,10.6,JHA,,,,,M,18.8,,,,,
R,AFH2796,BLUTI,5,M,05/01/2021  09:30:00,WYT,LOG 6A,,,,64.0,11.3,KMM,,,,,M,19.9,,,,,
R,AFH2791,BLUTI,5,M,05/01/2021  09:30:00,WYT,LOG 6A,,,,63.0,10.9,KMM,,,,,M,20.5,,,,,
R,AND7487,MARTI,4,,05/01/2021  09:10:00,WYT,LOG 6A,,,,60.0,10.2,SJC,,,,,M,18.6,,,,,
R,AFH2792,BLUTI,6,F,05/01/2021  09:10:00,WYT,LOG 6A,,,,61.0,10.0,SJC,,,,,M,18.7,,,,,
R,AVL7155,MARTI,5,,05/01/2021  08:39:59,WYT,LOG 6A,,,,62.0,10.5,JHA,,,,,M,18.4,,,,,
R,AFH2739,BLUTI,6,F,05/01/2021  08:39:59,WYT,LOG 6A,,,,63.0,10.4,JHA,,,,,M,19.0,,,,,
R,S884898,BLUTI,6,M,05/01/2021  08:39:59,WYT,LOG 6A,,,,64.0,10.7,SJC,,,,,M,19.8,,,,,
N,TY68263,GRETI,5,F,15/01/2021  09:40:00,WYT,LOG 7H,,,,72.0,21.0,CVJ,,,,,M,22.4,,,,,
N,TY68262,GRETI,5,M,15/01/2021  09:40:00,WYT,LOG 7H,,,,72.0,17.9,AKK,,,,,M,23.8,,,,,
N,TY68261,NUTHA,4,M,15/01/2021  09:40:00,WYT,LOG 7H,,,,85.0,23.7,CVJ,,,,,M,23.1,,,,,
N,TY68260,GRETI,5,F,15/01/2021  09:40:00,WYT,LOG 7H,,,,75.0,17.9,JPW,,,,,M,22.8,,,,,
N,TY68259,GRETI,5,M,15/01/2021  09:40:00,WYT,LOG 7H,,,,76.0,17.0,JHA,,,,,M,22.0,,,,,
N,TY68258,GRETI,5,F,15/01/2021  09:10:00,WYT,LOG 7H,,,,71.0,16.8,JHA,,,,,M,21.5,,,,,
N,TY68257,GRETI,5,M,15/01/2021  09:10:00,WYT,LOG 7H,,,,72.0,18.1,JPW,,,,,M,22.7,,,,,
N,TY68256,GRETI,5,M,15/01/2021  09:10:00,WYT,LOG 7H,,,,76.0,20.1,JHA,,,,,M,23.5,,,,,
N,AVL6860,BLUTI,5,F,15/01/2021  09:59:59,WYT,LOG 7H,,,,58.0,9.7,CVJ,,,,,M,18.8,,,,,
N,AVL6859,BLUTI,6,M,15/01/2021  09:59:59,WYT,LOG 7H,,,,63.0,11.7,JPW,,,,,M,19.0,,,,,
N,AVL6858,BLUTI,6,M,15/01/2021  09:59:59,WYT,LOG 7H,,,,66.0,11.1,CVJ,,,,,M,20.2,,,,,
N,AVL6857,BLUTI,5,F,15/01/2021  09:59:59,WYT,LOG 7H,,,,61.0,11.2,AKK,,,,,M,19.1,,,,,
N,AVL6856,BLUTI,5,F,15/01/2021  09:59:59,WYT,LOG 7H,,,,62.0,11.2,AKK,,,,,M,18.1,,,,,
N,AVL6855,BLUTI,5,M,15/01/2021  09:30:00,WYT,LOG 7H,,,,66.0,11.9,JHA,,,,,M,19.7,,,,,
N,AVL6854,BLUTI,5,F,15/01/2021  09:30:00,WYT,LOG 7H,,,,62.0,9.6,AKK,,,,,M,19.4,,,,,
N,AVL6853,COATI,5,,15/01/2021  09:30:00,WYT,LOG 7H,,,,61.0,9.5,CVJ,,,,,M,19.8,,,,,
N,AVL6852,BLUTI,5,M,15/01/2021  09:30:00,WYT,LOG 7H,,,,65.0,11.0,JHA,,,,,M,19.2,,,,,
N,AVL6851,BLUTI,5,F,15/01/2021  09:30:00,WYT,LOG 7H,,,,61.0,10.0,CVJ,,,,,M,18.9,,,,,
N,AVL6850,BLUTI,5,M,15/01/2021  09:30:00,WYT,LOG 7H,,,,66.0,11.2,JPW,,,,,M,19.0,,,,,
N,AVL6849,BLUTI,5,F,15/01/2021  09:30:00,WYT,LOG 7H,,,,62.0,10.9,AKK,,,,,M,20.0,,,,,
N,AVL6848,BLUTI,6,F,15/01/2021  09:00:00,WYT,LOG 7H,,,,63.0,10.2,AKK,,,,,M,20.2,,,,,
N,AVL6847,BLUTI,5,F,15/01/2021  09:00:00,WYT,LOG 7H,,,,61.0,10.4,CVJ,,,,,M,19.5,,,,,
N,AVL6846,BLUTI,5,F,15/01/2021  09:00:00,WYT,LOG 7H,,,,58.0,9.8,AKK,,,,,M,18.5,,,,,
N,AVL6845,BLUTI,5,M,15/01/2021  09:00:00,WYT,LOG 7H,,,,65.0,10.6,CVJ,,,,,M,19.8,,,,,
N,AVL6844,BLUTI,5,F,15/01/2021  09:00:00,WYT,LOG 7H,,,,60.0,10.6,AKK,,,,,M,19.2,,,,,
N,AVL6843,COATI,5,,15/01/2021  09:00:00,WYT,LOG 7H,,,,56.0,7.5,AKK,,,,,M,18.4,,,,,
N,AVL6842,BLUTI,6,F,15/01/2021  09:00:00,WYT,LOG 7H,,,,60.0,9.8,CVJ,,,,,M,18.5,,,,,
R,TW41851,GRETI,6,M,22/01/2021  08:49:59,WYT,LOG 1H,,,,75.0,18.8,KBB,,,,,M,23.5,,,,,
R,AVL6399,BLUTI,5,M,22/01/2021  08:49:59,WYT,LOG 1H,,,,62.0,10.6,KBB,,,,,M,18.7,,,,,
N,AVL6872,BLUTI,5,F,22/01/2021  08:49:59,WYT,LOG 1H,,,,62.0,10.9,JHA,,,,,M,18.6,,,,,
R,ABJ6046,BLUTI,6,M,15/01/2021  09:40:00,WYT,LOG 7H,,,,66.0,12.0,JPW,,,,,M,19.8,,,,,
N,AVL6871,BLUTI,5,F,22/01/2021  08:49:59,WYT,LOG 1H,,,,63.0,10.7,AKK,,,,,M,20.3,,,,,
N,AVL6870,COATI,5,,22/01/2021  08:49:59,WYT,LOG 1H,,,,62.0,8.8,JHA,,,,,M,19.2,,,,,
N,AVL6869,BLUTI,6,M,22/01/2021  08:49:59,WYT,LOG 1H,,,,63.0,10.1,JHA,,,,,M,18.8,,,,,
N,AVL6868,ROBIN,6,,22/01/2021  08:49:59,WYT,LOG 1H,,,,75.0,19.5,AKK,,,,,,,,,,,
